gene_id	gene_symbol	length
ENSG00000241666	RP3-455J7.4	2523
ENSG00000198771	RCSD1	5718
ENSG00000197965	MPZL1	7069
ENSG00000143199	ADCY10	6139
ENSG00000250762	RP1-313L4.4	266
ENSG00000232194	RP1-313L4.3	718
ENSG00000143158	MPC2	2552
ENSG00000143164	DCAF6	6204
ENSG00000221545	MIR1255B2	67
ENSG00000224837	GCSHP5	522
ENSG00000143147	GPR161	5902
ENSG00000143155	TIPRL	1818
ENSG00000237049	RPL34P1	354
ENSG00000237131	RP1-69E11.3	248
ENSG00000213064	SFT2D2	11221
ENSG00000214262	ANKRD36BP1	1779
ENSG00000206880	RNU6-1310P	107
ENSG00000143178	TBX19	3647
ENSG00000227722	RP5-1059H15.1	548
ENSG00000207974	MIR557	98
ENSG00000228697	RP5-968D22.1	1837
ENSG00000215833	QRSL1P1	1540
ENSG00000237658	RP5-968D22.3	519
ENSG00000143185	XCL2	565
ENSG00000227777	RP4-738P11.3	618
ENSG00000143184	XCL1	1367
ENSG00000229757	RP4-738P11.4	787
ENSG00000143196	DPT	1786
ENSG00000221578	AL049798.1	87
ENSG00000235736	RP1-10C16.1	418
ENSG00000225826	LINC00626	955
ENSG00000229612	SUMO1P2	304
ENSG00000203601	LINC00970	1129
ENSG00000213063	RPL29P7	457
ENSG00000252987	RNA5SP66	101
ENSG00000237707	RP5-1018K9.1	568
ENSG00000143153	ATP1B1	3068
ENSG00000143156	NME7	5737
ENSG00000235575	RP4-800F24.1	368
ENSG00000117475	BLZF1	3820
ENSG00000117477	CCDC181	2629
ENSG00000234437	RP1-206D15.3	1600
ENSG00000117479	SLC19A2	3671
ENSG00000234604	RP1-206D15.5	100
ENSG00000213062	AL021068.1	1463
ENSG00000198734	F5	7158
ENSG00000174175	SELP	3490
ENSG00000000460	C1orf112	6354
ENSG00000188404	SELL	2725
ENSG00000007908	SELE	4586
ENSG00000230704	RP1-117P20.3	677
ENSG00000171806	METTL18	1578
ENSG00000000457	SCYL3	6876
ENSG00000239494	RN7SL333P	297
ENSG00000075945	KIFAP3	5014
ENSG00000243051	RN7SL269P	303
ENSG00000235378	MRPS10P1	130
ENSG00000203260	AL356475.1	790
ENSG00000232959	RP11-332H17.1	341
ENSG00000224896	SIGLEC30P	941
ENSG00000203740	METTL11B	1204
ENSG00000263390	MIR3119-1	85
ENSG00000233985	RP11-297H3.3	760
ENSG00000238051	ISCUP1	448
ENSG00000224286	LINC01142	1527
ENSG00000226967	HAUS4P1	1145
ENSG00000263384	AL354732.1	83
ENSG00000231407	RP11-576I22.2	3185
ENSG00000120370	GORAB	3773
ENSG00000225545	RP11-545I10.2	130
ENSG00000235303	RP1-79C4.1	1923
ENSG00000116132	PRRX1	8246
ENSG00000271811	RP1-79C4.4	2045
ENSG00000117501	MROH9	3831
ENSG00000215924	BX284613.1	94
ENSG00000226552	RP5-1092L12.2	1641
ENSG00000007933	FMO3	3463
ENSG00000221390	MIR1295A	79
ENSG00000117507	FMO6P	2534
ENSG00000094963	FMO2	6239
ENSG00000225243	RP1-127D3.4	796
ENSG00000231424	RP1-45C12.1	416
ENSG00000010932	FMO1	3574
ENSG00000206692	Y_RNA	117
ENSG00000230547	HMGB1P11	637
ENSG00000076258	FMO4	2517
ENSG00000225704	RP4-798A17.5	232
ENSG00000268062	TOP1P1	203
ENSG00000239428	GM2AP2	562
ENSG00000202082	RNU6-290P	107
ENSG00000234333	CYCSP53	265
ENSG00000238859	snoU13	103
ENSG00000117523	PRRC2C	14192
ENSG00000239373	RN7SL425P	309
ENSG00000201126	RNU6-773P	98
ENSG00000034971	MYOC	2095
ENSG00000233328	PFN1P1	423
ENSG00000230364	RPL4P3	1311
ENSG00000117533	VAMP4	5159
ENSG00000232261	RP4-560B9.5	381
ENSG00000271459	RP4-560B9.6	521
ENSG00000236741	RP4-560B9.4	451
ENSG00000253060	SCARNA20	106
ENSG00000010165	METTL13	3843
ENSG00000213060	RP4-612B18.3	423
ENSG00000252134	Y_RNA	115
ENSG00000224600	RP4-612B18.1	352
ENSG00000197959	DNM3	11346
ENSG00000233540	DNM3-IT1	396
ENSG00000207949	MIR214	110
ENSG00000230630	DNM3OS	568
ENSG00000208024	MIR199A2	110
ENSG00000252354	SNORD112	75
ENSG00000206684	RNU6-157P	107
ENSG00000135845	PIGC	5229
ENSG00000180999	C1orf105	1725
ENSG00000094975	SUCO	7835
ENSG00000251943	RNU6-693P	107
ENSG00000117560	FASLG	1892
ENSG00000229785	SLC25A38P1	943
ENSG00000224228	RP1-15D23.2	808
ENSG00000227177	AIMP1P2	312
ENSG00000224000	RP3-471M13.2	658
ENSG00000120337	TNFSF18	2008
ENSG00000230849	GOT2P2	1251
ENSG00000226375	RP3-395P12.2	690
ENSG00000117586	TNFSF4	3942
ENSG00000251817	snoU13	94
ENSG00000232751	RP11-296O14.1	316
ENSG00000231615	RP11-296O14.2	1337
ENSG00000203739	RP11-296O14.3	2282
ENSG00000117592	PRDX6	2367
ENSG00000162753	SLC9C2	4916
ENSG00000238272	RP3-436N22.3	677
ENSG00000183831	ANKRD45	2911
ENSG00000232113	RP11-360D2.1	381
ENSG00000238430	snoU13	104
ENSG00000076321	KLHL20	4254
ENSG00000225591	RP11-360D2.2	255
ENSG00000200674	RN7SKP160	340
ENSG00000120334	CENPL	4914
ENSG00000252357	Y_RNA	134
ENSG00000117593	DARS2	3689
ENSG00000270084	GAS5-AS1	694
ENSG00000234741	GAS5	3631
ENSG00000208317	SNORD78	65
ENSG00000185278	ZBTB37	19464
ENSG00000117601	SERPINC1	1763
ENSG00000252231	RNA5SP67	131
ENSG00000135870	RC3H1	11508
ENSG00000200755	RNA5SP68	119
ENSG00000236535	RC3H1-IT1	448
ENSG00000224977	RP11-160H22.3	335
ENSG00000225713	RPL30P1	339
ENSG00000227373	RP11-160H22.5	1158
ENSG00000152061	RABGAP1L	13701
ENSG00000238872	snoU13	102
ENSG00000266125	AL022400.1	91
ENSG00000237317	RP4-809F4.1	935
ENSG00000203737	GPR52	1472
ENSG00000223828	BANF1P4	270
ENSG00000231378	NDUFAF4P4	502
ENSG00000237249	RP1-102G20.2	395
ENSG00000223525	RABGAP1L-IT1	737
ENSG00000235869	RP1-102G20.4	334
ENSG00000229531	RP1-102G20.5	971
ENSG00000252552	RNU6-307P	106
ENSG00000116161	CACYBP	4510
ENSG00000120333	MRPS14	2594
ENSG00000206659	Y_RNA	102
ENSG00000181101	SDCCAG3P2	1023
ENSG00000120332	TNN	5008
ENSG00000235750	KIAA0040	4779
ENSG00000230687	RP5-1114G22.2	775
ENSG00000233946	RP5-1114G22.1	161
ENSG00000260990	RP3-518E13.2	847
ENSG00000116147	TNR	12960
ENSG00000235628	TNR-IT1	630
ENSG00000224718	RP11-222A5.1	1809
ENSG00000227740	RP11-318C24.2	657
ENSG00000230777	RP11-318C24.1	171
ENSG00000143207	RFWD2	4299
ENSG00000252906	SCARNA3	143
ENSG00000228686	RP11-492I21.1	629
ENSG00000236021	RP11-195C7.1	579
ENSG00000232463	RP11-195C7.2	631
ENSG00000253025	RNU2-12P	168
ENSG00000227815	RP11-195C7.3	795
ENSG00000231020	RP11-357J22.1	424
ENSG00000225904	MORF4L1P7	703
ENSG00000116183	PAPPA2	10924
ENSG00000237514	PTP4A1P7	522
ENSG00000152092	ASTN1	9225
ENSG00000202609	MIR488	83
ENSG00000198797	BRINP2	3953
ENSG00000222749	AL021398.1	93
ENSG00000224968	RP1-35C21.1	491
ENSG00000227579	RP1-35C21.2	938
ENSG00000266393	AL122019.1	91
ENSG00000236720	RP11-63B19.1	1666
ENSG00000120341	SEC16B	7377
ENSG00000254154	RP4-798P15.3	7841
ENSG00000242193	RP11-568K15.1	5564
ENSG00000224687	RASAL2-AS1	2356
ENSG00000075391	RASAL2	11818
ENSG00000270575	RP11-21M7.2	311
ENSG00000213058	RP4-765C7.2	357
ENSG00000260938	RP4-593C16.3	600
ENSG00000188585	LINC00083	1137
ENSG00000240021	TEX35	4035
ENSG00000213057	C1orf220	2775
ENSG00000184909	C1ORF220	2113
ENSG00000201347	RNA5SP69	117
ENSG00000273384	RP5-1098D14.1	577
ENSG00000266417	MIR4424	86
ENSG00000273062	RP11-428K3.1	1980
ENSG00000116191	RALGPS2	7422
ENSG00000228196	PTPN2P1	1072
ENSG00000201791	SNORA63	119
ENSG00000116194	ANGPTL1	3403
ENSG00000116199	FAM20B	6039
ENSG00000232750	RP11-177A2.5	344
ENSG00000186283	TOR3A	3917
ENSG00000143322	ABL2	13257
ENSG00000234041	RP11-345I18.1	171
ENSG00000231905	SETP10	814
ENSG00000212338	SNORA67	107
ENSG00000201619	SNORA67	141
ENSG00000231564	EIF4A1P11	222
ENSG00000225711	RP11-345I18.4	721
ENSG00000223794	COX5BP8	349
ENSG00000228191	RP11-345I18.6	151
ENSG00000057252	SOAT1	7033
ENSG00000263633	RN7SL374P	296
ENSG00000162779	AXDND1	6089
ENSG00000224620	MEF2AP1	863
ENSG00000236539	HNRNPA1P54	9714
ENSG00000269064	AL160286.1	129
ENSG00000261250	RP11-545A16.1	3294
ENSG00000116218	NPHS2	1874
ENSG00000251875	RNU5F-2P	82
ENSG00000227141	RP11-545A16.3	2471
ENSG00000261060	RP11-545A16.4	934
ENSG00000162782	TDRD5	4032
ENSG00000221547	AL359853.1	97
ENSG00000243062	RP11-12M5.1	629
ENSG00000143340	FAM163A	2909
ENSG00000229407	RP11-12M5.3	601
ENSG00000231966	RP11-12M5.4	353
ENSG00000169905	TOR1AIP2	18876
ENSG00000258664	IFRG15	396
ENSG00000272906	RP11-533E19.7	989
ENSG00000143337	TOR1AIP1	9615
ENSG00000264916	RN7SL230P	301
ENSG00000261831	RP11-533E19.2	447
ENSG00000260360	RP11-533E19.5	1257
ENSG00000135837	CEP350	14301
ENSG00000235145	RP11-533E19.3	821
ENSG00000223450	RP11-52I18.1	371
ENSG00000261817	RP11-502H18.2	506
ENSG00000116260	QSOX1	9311
ENSG00000121454	LHX4	7324
ENSG00000230124	RP5-1180C10.2	4866
ENSG00000135847	ACBD6	2356
ENSG00000235060	VDAC1P4	835
ENSG00000265435	MIR3121	77
ENSG00000206905	Y_RNA	104
ENSG00000266683	AL358354.1	100
ENSG00000236719	OVAAL	1489
ENSG00000143324	XPR1	8903
ENSG00000272292	U6	96
ENSG00000266825	AL590085.1	98
ENSG00000225857	RP11-46A10.2	748
ENSG00000135835	KIAA1614	10195
ENSG00000243155	RP11-46A10.5	2424
ENSG00000232586	RP11-46A10.4	1440
ENSG00000251520	RP11-46A10.6	537
ENSG00000270711	RP11-46A10.8	411
ENSG00000234237	AL162431.1	168
ENSG00000135823	STX6	6254
ENSG00000153029	MR1	9264
ENSG00000162783	IER5	2340
ENSG00000272198	RP11-309G3.3	1791
ENSG00000237292	RP11-540K16.1	667
ENSG00000225359	RP11-540K16.2	532
ENSG00000179452	RP11-380B22.1	259
ENSG00000198216	CACNA1E	17878
ENSG00000252977	RNA5SP70	79
ENSG00000272880	RP11-33M22.2	557
ENSG00000222397	RN7SKP229	302
ENSG00000179930	ZNF648	3649
ENSG00000224810	RP11-538D16.2	2463
ENSG00000225982	RP11-538D16.3	1145
ENSG00000232309	GS1-122H1.1	628
ENSG00000228918	GS1-122H1.2	3161
ENSG00000232096	GS1-122H1.3	367
ENSG00000206764	RNU6-152P	107
ENSG00000228664	RP11-416K24.1	511
ENSG00000231684	RP11-416K24.2	340
ENSG00000135821	GLUL	9032
ENSG00000203730	TEDDM1	2500
ENSG00000203729	LINC00272	740
ENSG00000270443	RP1-223H12.5	195
ENSG00000233537	TEDDM1P1	786
ENSG00000121446	RGSL1	8575
ENSG00000135828	RNASEL	6128
ENSG00000143333	RGS16	2427
ENSG00000261504	RP11-317P15.4	1376
ENSG00000261185	RP11-317P15.5	1492
ENSG00000135824	RGS8	2397
ENSG00000227181	RP11-317P15.3	259
ENSG00000271269	RP11-317P15.6	408
ENSG00000264809	AL513344.1	100
ENSG00000135838	NPL	4975
ENSG00000135829	DHX9	5645
ENSG00000157060	SHCBP1L	2982
ENSG00000224040	HMGN1P4	290
ENSG00000199837	RNA5SP71	126
ENSG00000226570	RP11-505O17.1	759
ENSG00000176855	KRT18P28	1332
ENSG00000264768	AL450304.1	91
ENSG00000207472	RNU6-41P	107
ENSG00000135862	LAMC1	8406
ENSG00000224468	RP11-181K3.4	479
ENSG00000058085	LAMC2	6543
ENSG00000157064	NMNAT2	7165
ENSG00000233562	RP11-548N1.1	684
ENSG00000232860	SMG7-AS1	2240
ENSG00000116698	SMG7	8317
ENSG00000265042	AL137800.1	90
ENSG00000116701	NCF2	2928
ENSG00000270009	RP1-127C7.6	646
ENSG00000162704	ARPC5	5482
ENSG00000143344	RGL1	5415
ENSG00000173627	APOBEC4	2651
ENSG00000270994	RP11-293B7.1	936
ENSG00000227554	RP11-444D13.1	364
ENSG00000198756	COLGALT2	7339
ENSG00000198860	TSEN15	2443
ENSG00000199840	Y_RNA	110
ENSG00000207080	Y_RNA	108
ENSG00000231791	RP11-382D12.1	333
ENSG00000244568	RN7SL654P	290
ENSG00000271387	RP11-382D12.2	952
ENSG00000116667	C1orf21	10971
ENSG00000230470	GS1-115G20.1	423
ENSG00000232036	GS1-115G20.2	1325
ENSG00000252790	SNORD112	74
ENSG00000116406	EDEM3	7804
ENSG00000135842	FAM129A	8372
ENSG00000252222	RNU7-13P	62
ENSG00000260976	GS1-120K12.4	1091
ENSG00000201312	RNA5SP72	117
ENSG00000121481	RNF2	4073
ENSG00000232792	FTH1P25	469
ENSG00000121486	TRMT1L	5022
ENSG00000116668	SWT1	4054
ENSG00000231084	CTA-253N17.1	376
ENSG00000213051	RPL5P5	893
ENSG00000201421	Y_RNA	99
ENSG00000206640	Y_RNA	105
ENSG00000233583	RP4-635A23.3	1152
ENSG00000252612	Y_RNA	93
ENSG00000238061	RP4-635A23.4	973
ENSG00000116679	IVNS1ABP	7929
ENSG00000273004	GS1-279B7.2	752
ENSG00000261024	GS1-279B7.1	1088
ENSG00000252407	RNU7-183P	62
ENSG00000270920	CTA-277P6.1	209
ENSG00000228309	GS1-204I12.1	1265
ENSG00000207108	Y_RNA	101
ENSG00000201596	Y_RNA	110
ENSG00000261729	GS1-204I12.4	901
ENSG00000143341	HMCN1	18583
ENSG00000224691	GS1-174L6.4	353
ENSG00000116690	PRG4	5050
ENSG00000047410	TPR	12350
ENSG00000202025	RNU6-1240P	104
ENSG00000157181	C1orf27	4153
ENSG00000268662	AL596220.1	135
ENSG00000262180	OCLM	884
ENSG00000116703	PDC	1339
ENSG00000229739	RP11-295K2.3	314
ENSG00000273198	GS1-304P7.3	532
ENSG00000228238	GS1-304P7.2	1021
ENSG00000233196	GS1-304P7.1	677
ENSG00000073756	PTGS2	5269
ENSG00000273129	RP5-973M2.2	825
ENSG00000116711	PLA2G4A	2875
ENSG00000236030	LINC01036	858
ENSG00000231599	LINC01037	493
ENSG00000272827	RP11-445P19.3	322
ENSG00000271558	RP11-445P19.2	260
ENSG00000228012	RP11-393M18.1	199
ENSG00000225462	FDPSP1	1071
ENSG00000230426	ERVMER61-1	2393
ENSG00000236401	RP11-393M18.4	1259
ENSG00000223847	RP5-925F19.1	493
ENSG00000150732	RP11-134C1.1	228
ENSG00000222240	RN7SKP156	342
ENSG00000261182	RP11-201A3.1	2277
ENSG00000224278	RP11-405P11.1	540
ENSG00000225006	RP11-669M2.1	746
ENSG00000235083	RP11-669M2.2	407
ENSG00000231022	RPS3AP9	792
ENSG00000237283	RP11-316I3.1	733
ENSG00000238054	RP11-316I3.2	466
ENSG00000226486	LINC01035	784
ENSG00000271036	CLPTM1LP1	484
ENSG00000226196	RP11-373J16.2	943
ENSG00000252553	RNA5SP73	108
ENSG00000232212	RP11-398M15.1	451
ENSG00000238270	RP11-445J9.1	414
ENSG00000230987	RP11-113I24.1	3528
ENSG00000162670	BRINP3	3439
ENSG00000225811	RP11-547I7.1	602
ENSG00000237457	RP11-547I7.2	607
ENSG00000241505	RP11-161I10.1	506
ENSG00000231175	RP11-463J7.2	2216
ENSG00000236025	RP11-463J7.1	209
ENSG00000238108	RP11-463J7.3	433
ENSG00000228020	HNRNPA1P46	937
ENSG00000261642	RP11-309H21.3	3125
ENSG00000271187	RP11-309H21.4	219
ENSG00000233882	RP11-309H21.2	299
ENSG00000223344	RP11-541F9.1	780
ENSG00000228215	RP11-541F9.2	2051
ENSG00000150681	RGS18	2806
ENSG00000226723	RP11-142L4.3	780
ENSG00000236792	RP11-142L4.2	443
ENSG00000253148	RGS21	1794
ENSG00000221145	AL136987.1	93
ENSG00000232498	RP5-1011O1.2	396
ENSG00000236069	RP5-1011O1.3	684
ENSG00000090104	RGS1	4117
ENSG00000127074	RGS13	5870
ENSG00000231767	MIR4426	471
ENSG00000228687	RP3-419C19.3	378
ENSG00000226814	RP3-419C19.2	571
ENSG00000116741	RGS2	2086
ENSG00000223075	RN7SKP126	300
ENSG00000234871	LINC01032	276
ENSG00000234473	ZNF101P2	1229
ENSG00000116750	UCHL5	7108
ENSG00000238754	snoU109	135
ENSG00000116747	TROVE2	9102
ENSG00000272579	RP11-101E13.5	691
ENSG00000023572	GLRX2	1299
ENSG00000134371	CDC73	5352
ENSG00000221680	MIR1278	81
ENSG00000162630	B3GALT2	3274
ENSG00000232077	LINC01031	779
ENSG00000226640	RP11-21J7.1	401
ENSG00000237011	RP11-98G13.1	850
ENSG00000252241	U3	87
ENSG00000237213	RPL23AP22	453
ENSG00000227240	RP11-563D10.1	832
ENSG00000233057	EEF1A1P14	1376
ENSG00000231714	RP11-476H20.1	440
ENSG00000251813	RNU6-983P	103
ENSG00000228167	RP11-489C13.1	442
ENSG00000265108	AL357932.1	96
ENSG00000227421	RP11-476B1.1	621
ENSG00000162687	KCNT2	7124
ENSG00000265986	MIR4735	69
ENSG00000000971	CFH	8144
ENSG00000116785	CFHR3	2945
ENSG00000244414	CFHR1	2197
ENSG00000080910	CFHR2	1222
ENSG00000134365	CFHR4	2912
ENSG00000134389	CFHR5	2829
ENSG00000143278	F13B	2450
ENSG00000066279	ASPM	10887
ENSG00000235748	RP11-32D17.4	560
ENSG00000177888	ZBTB41	8562
ENSG00000134376	CRB1	13066
ENSG00000237861	RP11-332L8.1	1034
ENSG00000221879	MRPS21P3	262
ENSG00000230260	RP11-75C23.1	548
ENSG00000213047	DENND1B	13203
ENSG00000207139	Y_RNA	101
ENSG00000213046	EEF1A1P32	1347
ENSG00000235582	RP11-448G4.2	472
ENSG00000233040	FAM204BP	701
ENSG00000224901	RP11-448G4.4	247
ENSG00000203724	C1orf53	611
ENSG00000143355	LHX9	9664
ENSG00000151414	NEK7	5485
ENSG00000232824	RP11-401A10.2	408
ENSG00000151418	ATP6V1G3	728
ENSG00000223881	RP11-553K8.2	363
ENSG00000081237	PTPRC	8507
ENSG00000261573	RP11-553K8.5	416
ENSG00000236278	PEBP1P3	548
ENSG00000229989	MIR181A1HG	3250
ENSG00000207975	MIR181B1	110
ENSG00000207759	MIR181A1	110
ENSG00000227747	RP11-16L9.1	790
ENSG00000225172	RP11-16L9.2	1079
ENSG00000233410	RP11-16L9.3	1785
ENSG00000235492	RP11-16L9.4	662
ENSG00000231718	RP11-382E9.1	2296
ENSG00000239006	AC105941.1	105
ENSG00000228190	RP11-104D3.1	421
ENSG00000236468	RP11-104D3.2	1335
ENSG00000263805	AL450244.1	93
ENSG00000231984	RP11-2L13.1	400
ENSG00000228530	RP11-567B20.1	251
ENSG00000200139	RNU6-778P	103
ENSG00000229747	RP11-567B20.2	728
ENSG00000202491	RNU6-716P	103
ENSG00000202329	RNU6-609P	107
ENSG00000116833	NR5A2	7795
ENSG00000252860	RNU6-570P	105
ENSG00000221403	AC096633.1	102
ENSG00000229220	RP11-47A17.2	749
ENSG00000233827	FAM58BP	988
ENSG00000273093	RP11-532L16.3	533
ENSG00000213045	RP11-532L16.1	517
ENSG00000203721	LINC00862	1757
ENSG00000162702	ZNF281	4895
ENSG00000230623	RP11-469A15.2	507
ENSG00000118193	KIF14	7274
ENSG00000118197	DDX59	4470
ENSG00000260088	RP11-92G12.3	736
ENSG00000118200	CAMSAP2	7777
ENSG00000231333	RPL34P6	345
ENSG00000170128	GPR25	1224
ENSG00000163362	C1orf106	5413
ENSG00000233217	MROH3P	2625
ENSG00000201032	RNU6-704P	103
ENSG00000116852	KIF21B	12148
ENSG00000229191	RP11-168O16.1	3508
ENSG00000234132	RP11-168O16.2	508
ENSG00000081248	CACNA1S	6166
ENSG00000232237	ASCL5	2026
ENSG00000116857	TMEM9	3915
ENSG00000163395	IGFN1	12116
ENSG00000229821	RP11-567E21.3	771
ENSG00000081277	PKP1	6211
ENSG00000118194	TNNT2	7281
ENSG00000159166	LAD1	3237
ENSG00000159173	TNNI1	6791
ENSG00000227048	RP11-134G8.2	387
ENSG00000224818	RP11-134G8.8	598
ENSG00000174307	PHLDA3	2029
ENSG00000159176	CSRP1	10318
ENSG00000224536	RP11-134G8.7	340
ENSG00000223396	RPS10P7	2329
ENSG00000242150	RP11-134G8.6	494
ENSG00000269690	AC096677.1	726
ENSG00000134369	NAV1	22056
ENSG00000236390	RP11-25B7.1	579
ENSG00000231871	IPO9-AS1	1274
ENSG00000264802	MIR5191	120
ENSG00000235121	RP11-90L20.2	1809
ENSG00000200942	RNU6-501P	100
ENSG00000221028	MIR1231	92
ENSG00000198700	IPO9	11915
ENSG00000198892	SHISA4	1746
ENSG00000223774	RP11-307B6.3	671
ENSG00000163431	LMOD1	3970
ENSG00000134375	TIMM17A	3513
ENSG00000206637	SNORA70	135
ENSG00000238003	RP11-465N4.2	308
ENSG00000176393	RNPEP	3111
ENSG00000273478	RP11-465N4.5	657
ENSG00000234678	RP11-465N4.4	1061
ENSG00000163435	ELF3	7191
ENSG00000249007	RP11-510N19.5	987
ENSG00000232296	RP11-510N19.2	87
ENSG00000235811	RP11-510N19.3	84
ENSG00000227109	CRIP1P3	220
ENSG00000170075	GPR37L1	6588
ENSG00000143862	ARL8A	1973
ENSG00000143851	PTPN7	5906
ENSG00000243323	PTPRVP	6596
ENSG00000133067	LGR6	4583
ENSG00000238571	snoU13	104
ENSG00000239046	snoU13	101
ENSG00000077152	UBE2T	1065
ENSG00000077157	PPP1R12B	18537
ENSG00000229120	CYCSP4	331
ENSG00000272262	U6	100
ENSG00000232626	RP11-175B9.2	1562
ENSG00000236439	RP11-175B9.3	322
ENSG00000253042	SNORA70	118
ENSG00000143858	SYT2	7774
ENSG00000226862	RP11-569A11.1	314
ENSG00000225620	RP11-569A11.2	365
ENSG00000117139	KDM5B	9185
ENSG00000235449	RP11-480I12.2	190
ENSG00000226148	SLC25A39P1	1065
ENSG00000260021	RP11-480I12.10	592
ENSG00000228288	PCAT6	890
ENSG00000184774	RP11-480I12.4	2810
ENSG00000214796	RP11-480I12.5	2958
ENSG00000234996	RP11-480I12.7	2321
ENSG00000243113	RP11-480I12.9	1033
ENSG00000183155	RABIF	2430
ENSG00000117153	KLHL12	3552
ENSG00000230280	HNRNPA1P59	918
ENSG00000199471	Y_RNA	101
ENSG00000159346	ADIPOR1	3193
ENSG00000159348	CYB5R1	4504
ENSG00000234761	RP11-38O14.5	1239
ENSG00000231547	RP11-38O14.6	310
ENSG00000163444	TMEM183A	4026
ENSG00000143847	PPFIA4	9707
ENSG00000122180	MYOG	1528
ENSG00000163485	ADORA1	4191
ENSG00000234775	RP11-335O13.7	380
ENSG00000224671	RP11-335O13.8	741
ENSG00000133055	MYBPH	1805
ENSG00000133048	CHI3L1	3408
ENSG00000133063	CHIT1	7730
ENSG00000236523	NPM1P40	733
ENSG00000231507	RP11-134P9.3	837
ENSG00000233791	LINC01136	2725
ENSG00000159388	BTG2	2757
ENSG00000202300	RNU6-487P	104
ENSG00000122176	FMOD	3310
ENSG00000229652	RP11-435P24.2	287
ENSG00000271588	RP11-435P24.3	316
ENSG00000188783	PRELP	5747
ENSG00000188770	OPTC	1359
ENSG00000058668	ATP2B4	9721
ENSG00000236035	RP11-90O23.1	792
ENSG00000221643	SNORA77	125
ENSG00000122188	LAX1	3198
ENSG00000058673	ZC3H11A	9700
ENSG00000257315	ZBED6	4250
ENSG00000227417	RP11-397P13.6	643
ENSG00000223505	RP11-397P13.7	328
ENSG00000182004	SNRPE	1474
ENSG00000236430	KRT8P29	1371
ENSG00000232917	HSPE1P6	297
ENSG00000237379	CBX1P3	527
ENSG00000211554	AC096645.1	99
ENSG00000176754	LINC00303	1891
ENSG00000143842	SOX13	7412
ENSG00000261065	RP11-74C13.4	444
ENSG00000143845	ETNK2	4648
ENSG00000230550	RP11-74C13.3	1126
ENSG00000143839	REN	1465
ENSG00000225522	RP11-203F10.1	532
ENSG00000170498	KISS1	709
ENSG00000174567	GOLT1A	1136
ENSG00000143850	PLEKHA6	7820
ENSG00000231691	RP11-203F10.5	446
ENSG00000219133	RP11-203F10.6	483
ENSG00000226330	RP11-739N20.2	486
ENSG00000237848	RP11-739N20.3	234
ENSG00000158615	PPP1R15B	5227
ENSG00000133056	PIK3C2B	9414
ENSG00000198625	MDM4	11385
ENSG00000236779	RP11-430C7.2	848
ENSG00000200408	RNA5SP74	109
ENSG00000240710	RP11-430C7.4	683
ENSG00000170382	LRRN2	5681
ENSG00000240219	RP11-430C7.5	2219
ENSG00000252731	AL161793.1	85
ENSG00000228153	RP11-23I7.1	445
ENSG00000252650	RNA5SP75	111
ENSG00000251861	SCARNA20	116
ENSG00000163531	NFASC	21318
ENSG00000252946	SNORD112	72
ENSG00000229657	RP11-494K3.2	562
ENSG00000184144	CNTN2	10074
ENSG00000251696	AL583832.1	91
ENSG00000174529	TMEM81	1388
ENSG00000117222	RBBP5	4404
ENSG00000271580	RP11-536L3.4	784
ENSG00000236108	RP11-383G10.1	305
ENSG00000133059	DSTYK	7908
ENSG00000213041	RP11-383G10.3	552
ENSG00000133069	TMCC2	4922
ENSG00000225063	RP11-383G10.5	686
ENSG00000163545	NUAK2	3405
ENSG00000162873	KLHDC8A	3624
ENSG00000235363	SNRPGP10	225
ENSG00000226235	LEMD1-AS1	2781
ENSG00000186007	LEMD1	1063
ENSG00000199059	MIR135B	97
ENSG00000224717	RP11-576D8.4	2885
ENSG00000117266	CDK18	7580
ENSG00000253097	RNU2-19P	84
ENSG00000174514	MFSD4	5570
ENSG00000206762	RNU6-418P	107
ENSG00000158711	ELK4	10973
ENSG00000236942	RP11-6B6.3	353
ENSG00000158715	SLC45A3	3702
ENSG00000069275	NUCKS1	6546
ENSG00000268313	AC119673.1	1657
ENSG00000201944	SNORA72	132
ENSG00000117280	RAB7L1	3882
ENSG00000133065	SLC41A1	6357
ENSG00000162877	PM20D1	2614
ENSG00000174502	SLC26A9	5628
ENSG00000227687	RP4-681L3.2	230
ENSG00000229874	RP11-312O7.2	895
ENSG00000196550	FAM72A	3783
ENSG00000236889	RP11-38J22.1	271
ENSG00000225483	RP11-38J22.2	390
ENSG00000226780	RP11-38J22.3	630
ENSG00000198049	AVPR1B	2237
ENSG00000196533	C1orf186	2910
ENSG00000252692	SNORD60	86
ENSG00000240754	RP11-38J22.6	965
ENSG00000196188	CTSE	2686
ENSG00000229509	RP11-421E17.4	112
ENSG00000163486	SRGAP2	9263
ENSG00000233501	SRGAP2-AS1	2178
ENSG00000143466	IKBKE	3568
ENSG00000162888	C1orf147	2096
ENSG00000261000	RP11-534L20.5	509
ENSG00000136653	RASSF5	6174
ENSG00000234981	RP11-534L20.4	792
ENSG00000143486	EIF2D	2882
ENSG00000237605	RP11-343H5.6	358
ENSG00000143479	DYRK3	4218
ENSG00000252853	SNORD112	73
ENSG00000162889	MAPKAPK2	4195
ENSG00000224114	RP11-343H5.4	433
ENSG00000199349	Y_RNA	113
ENSG00000136634	IL10	1978
ENSG00000142224	IL19	2579
